,,
,,
工事番号：　S6300,,
本体区分：　(1)本体,,
区画,大組,中組
　,ブロック,ブロック
AP,DAP,6LAP
,,AP4P
,,AWP
,,DAP
,,P6LAP
,,PAWP
,,PDAP
,,PT10P
,,T10P
,DAS,6LAS
,,AP4S
,,AWS
,,DAS
,,P6LAS
,,PDAS
,,PT10S
,,T10S
,FT,AP2
,,AP2C
,,FT
,SGFP,AP3AP
,,AP3P
,,SGFAP
,,SGFP
,SGFS,AP3AS
,,AP3S
,,SGFAS
,,SGFS
　　区画計　　　,,
BRI,2D2AS,2D2AS
,2D2BP,2D2BP
,2D2P,2D2P
,2D2S,2D2S
,2DC1,2DC1
,3D2P,3D2P
,3D2S,3D2S
,3DC1,3DC1
,4DP,4DP
,4DS,4DS
,5DP,5DP
,5DS,5DS
,6DAP,6DAP
,6DAS,6DAS
,6DP,6DP
,6DS,6DS
,7D,7D
,CRR1,CRR1
　　区画計　　　,,
ENG1,4E2P,4E2P
,,B2AP
,4E2S,4E2S
,,B2AS
,B1,B1
,,N1
,B1AP,B1AP
,B1AS,B1AS
,B1FP,B1FP
,B1FS,B1FS
,B2,B2
,,N2
,,XN2
,T33A,T33A
　　区画計　　　,,
ENG2,2E1P,12LB1P
,,2E1P
,,HB1P
,2E1S,12LB1S
,,2E1S
,,HB1S
,2E2P,12LB2P
,,2E2P
,,HB2P
,,P12LB2P
,,P2E2P
,,PTB33P
,,TB33P
,2E2S,12LB2S
,,2E2S
,,HB2S
,,P12LB2S
,,P2E2S
,,PTB33S
,,TB33S
,3E1P,3E1P
,,HA1P
,3E1S,3E1S
,,HA1S
,3E2P,3E2P
,,HA2P
,,P3E2P
,3E2S,3E2S
,,HA2S
,,P3E2S
,D1P,D1P
,,H1P
,,PD1P
,D1S,D1S
,,H1S
,,PD1S
,D2P,12L2P
,,15L2P
,,CRTP
,,D2P
,,H2P
,,P12L2P
,,P15L2P
,,PCRTP
,,PD2P
,,PT33P
,,T33P
,D2S,12L2S
,,16L2S
,,D2S
,,H2S
,,P12L2S
,,PD2S
,,PT33S
,,T33S
,DC2,DC2
,,PDC2
　　区画計　　　,,
FS,BC,BC
,FD1P,FD1P
,,FS1P
,FD1S,FD1S
,,FS1S
,FD2,D16
,,FD2
,,FS2
,,FS2F
,,HR5
,FD2P,BMSP
,FD2S,BMSS
　　区画計　　　,,
HC,DR10,DR10
,DR12,DR12
,DR5P,DR5P
,DR7P,DR7P
,DR7S,DR7S
,HCM1,HCM1
,HCM2,HCM2
,HCM3,HCM3
,HCM4,HCM4
,HCM5,HCM5
　　区画計　　　,,
HLD1,B10P,B10P
,,N10P
,,PB10P
,,PN10P
,,XPB10P
,,XPN10P
,B10S,B10S
,,N10S
,,PB10S
,,PN10S
,,XPB10S
,,XPN10S
,B11P,B11P
,,N11P
,,PB11P
,,PN11P
,,XPB11P
,,XPN11P
,B11S,B11S
,,N11S
,,PB11S
,,PN11S
,,XPB11S
,,XPN11S
,B12P,B12P
,,N12P
,,PB12P
,,PN12P
,,XB12P
,,XN12P
,,XPB12P
,,XPN12P
,B12S,B12S
,,N12S
,,PB12S
,,PN12S
,,XB12S
,,XN12S
,,XPB12S
,,XPN12S
,B13P,B13P
,,N13P
,,PB13P
,,PN13P
,,XB13P
,,XN13P
,,XPB13P
,,XPN13P
,B13S,B13S
,,N13S
,,PB13S
,,PN13S
,,XB13S
,,XN13S
,,XPB13S
,,XPN13S
,B14P,B14P
,,N14P
,,PB14P
,,PN14P
,,XB14P
,,XN14P
,,XPB14P
,,XPN14P
,B14S,B14S
,,N14S
,,PB14S
,,PN14S
,,XB14S
,,XN14S
,,XPB14S
,,XPN14S
,B3P,B3P
,,N3P
,,PB3P
,,PN3P
,,XB3P
,,XN3P
,,XPB3P
,,XPN3P
,B3S,B3S
,,N3S
,,PB3S
,,PN3S
,,XB3S
,,XN3S
,,XPB3S
,,XPN3S
,B4P,B4P
,,N4P
,,PB4P
,,PN4P
,,XB4P
,,XN4P
,,XPB4P
,,XPN4P
,B4S,B4S
,,N4S
,,PB4S
,,PN4S
,,XB4S
,,XN4S
,,XPB4S
,,XPN4S
,B5P,B5P
,,N5P
,,PB5P
,,PN5P
,,XPB5P
,,XPN5P
,B5S,B5S
,,N5S
,,PB5S
,,PN5S
,,XPB5S
,,XPN5S
,B6P,B6P
,,N6P
,,PB6P
,,PN6P
,,XPB6P
,,XPN6P
,B6S,B6S
,,N6S
,,PB6S
,,PN6S
,,XPB6S
,,XPN6S
,B7P,B7P
,,N7P
,,PB7P
,,PN7P
,,XB7P
,,XPB7P
,,XPN7P
,B7S,B7S
,,N7S
,,PB7S
,,PN7S
