,,
,,
工事番号：　S6300,,
本体区分：　(1)本体,,
区画,大組,中組
,,XB7S
,,XPB7S
,,XPN7S
,B8P,B8P
,,N8P
,,PB8P
,,PN8P
,,XPB8P
,,XPN8P
,B8S,B8S
,,N8S
,,PB8S
,,PN8S
,,XPB8S
,,XPN8S
,B9P,B9P
,,N9P
,,PB9P
,,PN9P
,,XPB9P
,,XPN9P
,B9S,B9S
,,N9S
,,PB9S
,,PN9S
,,XPB9S
,,XPN9S
　　区画計　　　,,
HLD2,HA10P,HA10P
,,NH10P
,,PHA10P
,,PNH10P
,,XNH10P
,,XPHA10P
,,XPNH10P
,HA10S,HA10S
,,NH10S
,,PHA10S
,,PNH10S
,,XNH10S
,,XPHA10S
,,XPNH10S
,HA11P,BB11P
,,HA11P
,,NH11P
,,PHA11P
,,PNH11P
,,XNH11P
,,XPHA11P
,,XPNH11P
,HA11S,BB11S
,,HA11S
,,NH11S
,,PHA11S
,,PNH11S
,,XNH11S
,,XPHA11S
,,XPNH11S
,HA12P,HA12P
,,NH12P
,,PNH12P
,,XHA12P
,,XPNH12P
,HA12S,HA12S
,,NH12S
,,PNH12S
,,XHA12S
,,XPNH12S
,HA13P,HA13P
,,NH13FP
,,NH13P
,,PNH13FP
,,PNH13P
,,XHA13P
,,XPNH13FP
,,XPNH13P
,HA13S,HA13S
,,NH13FS
,,NH13S
,,PNH13FS
,,PNH13S
,,XHA13S
,,XPNH13FS
,,XPNH13S
,HA14P,HA14P
,,NH14P
,,PNH14P
,,XHA14P
,,XPNH14P
,HA14S,HA14S
,,NH14S
,,PNH14S
,,XHA14S
,,XPNH14S
,HA3P,HA3P
,,NH3P
,,PNH3P
,,XHA3P
,,XNH3P
,,XPNH3P
,HA3S,HA3S
,,NH3S
,,PNH3S
,,XHA3S
,,XNH3S
,,XPNH3S
,HA4P,HA4P
,,NH4P
,,PNH4P
,,XHA4P
,,XPNH4P
,HA4S,HA4S
,,NH4S
,,PNH4S
,,XHA4S
,,XPNH4S
,HA5P,BB5P
,,HA5P
,,NH5P
,,PHA5P
,,PNH5P
,,XHA5P
,,XNH5P
,,XPHA5P
,,XPNH5P
,HA5S,BB5S
,,HA5S
,,NH5S
,,PHA5S
,,PNH5S
,,XHA5S
,,XNH5S
,,XPHA5S
,,XPNH5S
,HA6P,HA6P
,,NH6P
,,PHA6P
,,PNH6P
,,XNH6P
,,XPHA6P
,,XPNH6P
,HA6S,HA6S
,,NH6S
,,PHA6S
,,PNH6S
,,XNH6S
,,XPHA6S
,,XPNH6S
,HA7P,HA7P
,,NH7P
,,PHA7P
,,PNH7P
,,XNH7P
,,XPHA7P
,,XPNH7P
,HA7S,HA7S
,,NH7S
,,PHA7S
,,PNH7S
,,XNH7S
,,XPHA7S
,,XPNH7S
,HA8P,HA8P
,,NH8P
,,PHA8P
,,PNH8P
,,XNH8P
,,XPHA8P
,,XPNH8P
,HA8S,HA8S
,,NH8S
,,PHA8S
,,PNH8S
,,XNH8S
,,XPHA8S
,,XPNH8S
,HA9P,HA9P
,,NH9P
,,PHA9P
,,PNH9P
,,XNH9P
,,XPHA9P
,,XPNH9P
,HA9S,HA9S
,,NH9S
,,PHA9S
,,PNH9S
,,XNH9S
,,XPHA9S
,,XPNH9S
　　区画計　　　,,
HLD3,H10P,D10P
,,DH10P
,,H10P
,,PD10P
,,PDH10P
,,PH10P
,,STS142P
,,TW142P
,H10S,D10S
,,DH10S
,,H10S
,,PD10S
,,PDH10S
,,PH10S
,,STS142S
,,TW142S
,H11P,D11P
,,DH11P
,,H11P
,,PD11P
,,PDH11P
,,PH11P
,H11S,D11S
,,DH11S
,,H11S
,,PD11S
,,PDH11S
,,PH11S
,H12P,D12P
,,DH12P
,,H12P
,,PD12P
,,PDH12P
,,PH12P
,,TW180P
,H12S,D12S
,,DH12S
,,H12S
,,PD12S
,,PDH12S
,,PH12S
,,TW180S
,H13P,D13P
,,DH13AP
,,DH13FP
,,H13P
,,PD13P
,,PDH13AP
,,PDH13FP
,H13S,D13S
,,DH13AS
,,DH13FS
,,H13S
,,PD13S
,,PDH13AS
,,PDH13FS
,H14P,D14P
,,DH14P
,,H14P
,,PD14P
,,PDH14P
,H14S,D14S
,,DH14S
,,H14S
,,PD14S
,,PDH14S
,H3P,D3P
,,DH3P
,,H3P
,,PD3P
,,PDH3P
,,PH3P
,H3S,D3S
,,DH3S
,,H3S
,,PD3S
,,PDH3S
,,PH3S
,H4P,D4P
,,DH4P
,,H4P
,,PD4P
,,PDH4P
,,PH4P
,H4S,D4S
,,DH4S
,,H4S
,,PD4S
,,PDH4S
,,PH4S
,H5P,D5P
,,DH5P
,,H5P
,,PD5P
,,PDH5P
,,PH5P
,,TW68P
,H5S,D5S
,,DH5S
,,H5S
,,PD5S
,,PDH5S
,,PH5S
,,TW68S
,H6P,D6P
,,DH6P
,,H6P
,,PD6P
,,PDH6P
,,PH6P
,H6S,D6S
,,DH6S
,,H6S
,,PD6S
,,PDH6S
,,PH6S
,H7P,D7P
,,DH7P
,,H7P
,,PD7P
,,PDH7P
,,PH7P
,,STS106P
,,TW106P
,H7S,D7S
,,DH7S
,,H7S
,,PD7S
,,PDH7S
,,PH7S
,,STS106S
,,TW106S
,H8P,D8P
,,DH8P
,,H8P
,,PD8P
,,PDH8P
,,PH8P
,H8S,D8S
,,DH8S
,,H8S
,,PD8S
,,PDH8S
,,PH8S
,H9P,D9P
,,DH9P
,,H9P
,,PD9P
,,PDH9P
,,PH9P
,H9S,D9S
,,DH9S
,,H9S
,,PD9S
,,PDH9S
,,PH9S
　　区画計　　　,,
HLD4,DC10,DC10
,,PDC10
,,ST142
,,TC142
,DC12,DC12
,,PDC12
,,TC180
,DC14,DC14
,,PDC14
,DC3,DC3
,,PDC3
,DC5,DC5
,,PDC5
,,TC68
,DC7,DC7
,,PDC7
,,ST106
,,TC106
　　区画計　　　,,
HR,5PTP,5PTP
,,HR2P
,5PTS,5PTS
,,HR2S
,D15P,D15P
,,HR4P
,,PT211P
,,T211P
,,XPT211P
,D15S,D15S
,,HR4S
,,PT211S
,,T211S
,,XPT211S
,FPTP,FPTP
,,HR3P
,,PFPTP
,,PTB211P
,,TB211P
,,XPTB211P
,FPTS,FPTS
,,HR3S
,,PFPTS
,,PTB211S
,,TB211S
,,XPTB211S
,HR1,HR1
,HR4FP,HR4FP
,HR4FS,HR4FS
,T225,BR
,,T225
　　区画計　　　,,
本体区分計　　　　,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
